id,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,rating
*2539,2787,John,Brooklynn,Kensington,Privaate room,149,1,9,43392,0.21,6,365,0.571895817
2595,2845,Jennifer,Manhattan,Midtown,Entire home/apt,225,1,45,43606,0.38,2,355,0.184031666
3647,4632,Elisabeth,Manhattan,Harlem,Privaate room,150,3,0,,,1,365,0.027267469
3831,4869,LisaRoxanne,Brooklynn,Clinton Hill,Entire home/apt,89,1,270,43651,4.64,1,194,0.461664199
5022,7192,Laura,Manhattan,East Harlem,Entire home/apt,80,10,9,43423,0.1,1,0,0.823073643
5099,7322,Chris,Manhattan,Murray Hill,Entire home/apt,200,3,74,43638,0.59,1,129,0.598771659
5121,7356,Garon,Brooklynn,Bedford-Stuyvesant,Privaate room,60,45,49,43013,0.4,1,0,0.534677595
5178,8967,Shunichi,Manhattan,Hell's Kitchen,Privaate room,79,2,430,43640,3.47,1,220,0.071079111
5203,7490,MaryEllen,Manhattan,upper West Side,Privaate room,79,2,118,42937,0.99,1,0,0.514239192
*5238,7549,Ben,Manhattan,Chinatown,Entire home/apt,150,1,160,43625,1.33,4,188,0.039279613
5295,7702,Lena,Manhattan,upper West Side,Entire home/apt,135,5,53,43638,0.43,1,6,0.87285532
5441,7989,Kate,Manhattan,Hell's Kitchen,Privaate room,85,2,188,43639,1.5,1,39,0.30606849
5803,9744,Laurie,Brooklynn,South Slope,Privaate room,89,4,167,43640,1.34,3,314,0.34112732
6021,11528,Claudio,Manhattan,upper West Side,Privaate room,85,2,113,43651,0.91,1,333,0.305588161
6090,11975,Alina,Manhattan,West Village,Entire home/apt,120,90,27,43404,0.22,1,0,0.712543767
6848,15991,Allen & Irina,Brooklynn,Williamsburg,Entire home/apt,140,2,148,43645,1.2,1,46,0.980137286
7097,17571,Jane,Brooklynn,Fort Greene,Entire home/apt,215,2,198,43644,1.72,1,321,0.61056014
7322,18946,Doti,Manhattan,Chelsea,Privaate room,140,1,260,43647,2.12,1,12,0.732253962
*7726,20950,Adam And Charity,Brooklynn,Crown Heights,Entire home/apt,99,3,53,43638,4.44,1,21,0.564475455
*7750,17985,Sing,Manhattan,East Harlem,Entire home/apt,190,7,0,,,2,249,0.246988954
7801,21207,Chaya,Brooklynn,Williamsburg,Entire home/apt,299,3,9,40905,0.07,1,0,0.902408482
*8024,22486,Lisel,Brooklynn,Park Slope,Privaate room,130,2,130,43647,1.09,6,347,0.013958651
8025,22486,Lisel,Brooklynn,Park Slope,Privaate room,80,1,39,43466,0.37,6,364,0.760141788
8110,22486,Lisel,Brooklynn,Park Slope,Privaate room,110,2,71,43648,0.61,6,304,0.952684772
8490,25183,Nathalie,Brooklynn,Bedford-Stuyvesant,Entire home/apt,120,2,88,43635,0.73,2,233,0.770038709
8505,25326,Gregory,Brooklynn,Windsor Terrace,Privaate room,60,1,19,43639,1.37,2,85,0.800992634
8700,26394,Claude & Sophie,Manhattan,Inwood,Privaate room,80,4,0,,,1,0,0.062050409
9357,30193,Tommi,Manhattan,Hell's Kitchen,Entire home/apt,150,10,58,42960,0.49,1,75,0.966666616
9518,31374,Shon,Manhattan,Inwood,Privaate room,44,3,108,43631,1.11,3,311,0.078786297
9657,21904,Dana,Manhattan,East Village,Entire home/apt,180,14,29,43574,0.24,1,67,0.547517032
9668,32294,Ssameer Or Trip,Manhattan,Harlem,Privaate room,50,3,242,43617,2.04,3,355,0.245684107
9704,32045,Teri,Manhattan,Harlem,Privaate room,52,2,88,43630,1.42,1,255,0.200196666
9782,32169,Andrea,Brooklynn,Greenpoint,Privaate room,55,4,197,43631,1.65,3,284,0.494180797
9783,32294,Ssameer Or Trip,Manhattan,Harlem,Privaate room,50,3,273,43647,2.37,3,359,0.737360067
10452,35935,Angela,Brooklynn,Bedford-Stuyvesant,Privaate room,70,1,74,43597,0.66,2,269,0.621336225
10962,9744,Laurie,Brooklynn,South Slope,Privaate room,89,4,168,43637,1.41,3,340,0.966444394
11452,7355,Vt,Brooklynn,Bedford-Stuyvesant,Privaate room,35,60,0,,,1,365,0.477296471
11708,44145,Tyrome,Brooklynn,Bushwick,Entire home/apt,85,2,231,43638,1.96,2,22,0.041036854
11943,45445,Harriet,Brooklynn,Flatbush,Privaate room,150,1,0,,,1,365,0.774761142
12048,7549,Ben,Manhattan,Lower East Side,Shared room,40,1,214,43651,1.81,4,188,0.112305143
12192,46978,Edward,Manhattan,East Village,Privaate room,68,2,245,43637,2.08,2,96,0.036328291
12299,47610,Abdul,Brooklynn,South Slope,Entire home/apt,120,3,15,43612,0.39,1,345,0.385957986
12303,47618,Yolande,Brooklynn,Fort Greene,Privaate room,120,7,25,43373,0.23,1,311,0.692682196
12318,16800,Cyn,Manhattan,upper West Side,Privaate room,135,4,81,43632,0.69,1,273,0.58345151
12343,47727,Earl,Manhattan,Harlem,Entire home/apt,150,7,97,43629,0.84,1,309,0.329980441
12627,49670,Rana,Brooklynn,Prospect-Lefferts Gardens,Entire home/apt,150,29,11,43621,0.49,1,95,0.587184318
12937,50124,Orestes,Queens,Long Island City,Privaate room,130,3,248,43647,2.25,1,215,0.662094168
12940,50148,Adreinne,Brooklynn,Bedford-Stuyvesant,Entire home/apt,110,7,61,43610,0.52,1,265,0.54027871
13050,50846,Jennifer,Brooklynn,Bedford-Stuyvesant,Entire home/apt,115,3,11,42736,0.1,1,0,0.69769028
13394,52335,Alexander,Brooklynn,Fort Greene,Privaate room,80,3,135,43633,1.16,2,192,0.664956361
13808,54275,JT And Tiziana,Brooklynn,Bedford-Stuyvesant,Privaate room,80,1,112,43632,1.01,3,251,0.255555556
14287,56094,Joya,Manhattan,upper West Side,Entire home/apt,151,2,73,43653,0.63,1,302,0.240651556
14290,56104,James,Brooklynn,Williamsburg,Entire home/apt,228,3,82,43602,0.7,1,140,0.148853594
14314,56246,Jeanne,Brooklynn,Greenpoint,Entire home/apt,144,2,328,43645,2.82,1,234,0.918982579
14322,56284,Francesca,Manhattan,Kips Bay,Entire home/apt,200,7,19,43549,0.22,1,257,0.783159954
14377,56512,Joanna,Brooklynn,Williamsburg,Entire home/apt,150,30,105,43638,0.9,1,30,0.30820643
14991,59023,Bianca,Manhattan,Lower East Side,Privaate room,110,5,19,43603,0.17,1,301,0.741149431
*15220,59734,Luiz,Manhattan,Hell's Kitchen,Privaate room,69,2,289,43625,2.49,2,294,0.280009824
*15338,32169,Andrea,Brooklynn,Greenpoint,Privaate room,49,4,138,43620,1.19,3,320,0.492965187
*15341,60049,Ted,Manhattan,SoHo,Entire home/apt,180,30,21,43645,0.3,1,154,0.805695783
*15385,60252,Cristina,Brooklynn,Williamsburg,Privaate room,80,2,42,43646,0.38,1,263,0.545593318
*15396,60278,Petra,Manhattan,Chelsea,Entire home/apt,375,180,5,43407,0.12,1,180,0.2435434
*15711,61491,D,Manhattan,Upper East Side,Entire home/apt,250,2,66,43554,0.57,2,231,0.533459731
*16326,63588,Dimitri,Brooklynn,Prospect Heights,Entire home/apt,200,30,143,43491,1.33,2,297,0.534616842
*16338,63613,Patricia,Brooklynn,Clinton Hill,Privaate room,55,7,27,43008,0.23,2,292,0.753946241
*16421,63924,Mark,Manhattan,Hell's Kitchen,Privaate room,52,30,191,43601,1.65,1,191,0.517694648
*16458,64056,Sara,Brooklynn,Park Slope,Entire home/apt,225,3,4,43002,0.16,1,0,0.698336282
*16580,64442,Reka,Manhattan,East Village,Privaate room,80,1,338,43647,4.72,2,72,0.162876924
*16595,64522,Daniel,Brooklynn,Williamsburg,Entire home/apt,275,1,148,43639,1.4,1,362,0.663356419
*16821,4396,Casey,Manhattan,East Village,Privaate room,99,1,106,43637,1.26,2,336,0.577051385
*16974,65837,Robin,Manhattan,East Harlem,Entire home/apt,225,4,190,43639,1.64,1,215,0.448582476
